benchmark,num_points,geomean_speedup_median,best_speedup_median,best_N,all_correct
2mm,3,3.930501,5.556682,65536,True
3mm,3,3.979210,5.675189,65536,True
atax,2,1.072454,1.072485,262144,True
bicg,2,1.137275,1.142433,65536,True
bounded_kernels,1,1.011111,1.011111,65536,True
convolution_2d,3,1.094048,1.177536,65536,True
gemm,3,3.903201,5.429701,65536,True
gesummv,2,1.224630,1.225242,262144,True
mvt,2,1.084264,1.101341,262144,True
offset,1,1.149660,1.149660,65536,True
prefetch,1,1.005008,1.005008,65536,True
prefetch_loop_invariant,1,1.044280,1.044280,65536,True
rejection_tests,1,1.005525,1.005525,65536,True
reverse,1,1.000000,1.000000,65536,True
strided,1,1.131250,1.131250,65536,True
syr2k,3,6.549621,14.792995,1048576,True
syrk,3,6.194423,15.243538,1048576,True
