N,block,correct,kernel,max_abs_err,naive_best_ms,naive_median_ms,opt_best_ms,opt_median_ms,speedup_best,speedup_median
262144,256,True,coalesced_noop,,0.005919999908655882,0.00687999976798892,0.006527999881654978,0.006912000011652708,0.9068627475457374,0.9953703351258912
262144,256,True,strided_tile_remap,0.0,0.005919999908655882,0.006351999938488007,0.006591999903321266,0.006976000033318996,0.8980582517413557,0.9105504455489363
1048576,256,True,coalesced_noop,,0.0077760000713169575,0.008287999778985977,0.007807999849319458,0.008191999979317188,0.9959016676972285,1.0117187255750935
1048576,256,True,strided_tile_remap,0.0,0.00800000037997961,0.008495999965816736,0.010528000071644783,0.010944000445306301,0.7598784503740771,0.7763157547622843
4194304,256,True,coalesced_noop,,0.0161920003592968,0.016672000288963318,0.016095999628305435,0.016607999801635742,1.0059642602639318,1.0038535939361748
4194304,256,True,strided_tile_remap,0.0,0.025919999927282333,0.026623999699950218,0.044863998889923096,0.04576000012457371,0.5777460897072246,0.5818181736772502
16777216,256,True,coalesced_noop,,0.05772799998521805,0.06032000109553337,0.0578560009598732,0.06007999926805496,0.9977875938099502,1.0039947042343926
16777216,256,True,strided_tile_remap,0.0,0.08895999938249588,0.08953599631786346,0.1613440066576004,0.16307200491428375,0.5513684779830975,0.5490580456463184
67108864,256,True,coalesced_noop,,0.2210880070924759,0.221840001642704,0.22092799842357635,0.22169600427150726,1.000724257088469,1.0006495262360273
67108864,256,True,strided_tile_remap,0.0,0.3365119993686676,0.33718399703502655,0.6290240287780762,0.629936009645462,0.5349747926519851,0.5352670618477566
